SYMBOL,NAME_OF_COMPANY,SERIES,DATE_OF_LISTING,PAID_UP_VALUE,ISIN_NUMBER,FACE_VALUE,Unnamed: 7
PRAMARA.NS,Pramara Promotions Limited,SM,13-Sep-23,10,INE0O7A01017,10,
SAROJA.NS,Saroja Pharma Industries India Limited,SM,13-Sep-23,10,INE0PCL01011,10,
BASILIC.NS,Basilic Fly Studio Limited,ST,11-Sep-23,10,INE0OCC01013,10,
MONOPHARMA.NS,Mono Pharmacare Limited,SM,07-Sep-23,10,INE0OIP01012,10,
CPS.NS,C P S Shapers Limited,ST,07-Sep-23,10,INE0QBU01012,10,
SAHAJ.NS,Sahaj Fashions Limited,SM,06-Sep-23,10,INE013901017,10,
SEL.NS,Sungarner Energies Limited,ST,31-Aug-23,10,INE0O3O01017,10,
CLSL.NS,Crop Life Science Limited,SM,30-Aug-23,10,INE00NH01017,10,
SSFL.NS,Srivari Spices And Foods Limited,ST,18-Aug-23,10,INE0ON201012,10,
SANGANI.NS,Sangani Hospitals Limited,ST,17-Aug-23,10,INE0OVI01010,10,
YUDIZ.NS,Yudiz Solutions Limited,SM,17-Aug-23,10,INE09FA01019,10,
ORIANA.NS,Oriana Power Limited,SM,11-Aug-23,10,INE0OUT01019,10,
VINSYS.NS,Vinsys IT Services India Limited,SM,11-Aug-23,10,INE0OSJ01014,10,
ZEAL.NS,Zeal Global Services Limited,SM,09-Aug-23,10,INE0PPS01018,10,
SHRITECH.NS,Shri Techtex Limited,SM,04-Aug-23,10,INE0OMF01015,10,
YCCL.NS,Yasons Chemex Care Limited,SM,03-Aug-23,10,INE08S201019,10,
SERVICE.NS,Service Care Limited,SM,26-Jul-23,10,INE0P1Q01015,10,
DRONE.NS,Drone Destination Limited,ST,21-Jul-23,10,INE0P7201019,10,
SYNOPTICS.NS,Synoptics Technologies Limited,SM,13-Jul-23,10,INE0BTR01012,10,
TRIDHYA.NS,Tridhya Tech Limited,SM,13-Jul-23,10,INE0LWY01029,10,
GLOBALPET.NS,Global Pet Industries Limited,SM,10-Jul-23,10,INE0PS501019,10,
PENTAGON.NS,Pentagon Rubber Limited,SM,07-Jul-23,10,INE0ORS01017,10,
ESFL.NS,Essen Speciality Films Limited,ST,06-Jul-23,10,INE0ITO01014,10,
GREENCHEF.NS,Greenchef Appliances Limited,SM,06-Jul-23,10,INE0O7P01015,10,
MAGSON.NS,Magson Retail And Distribution Limited,SM,06-Jul-23,10,INE0O1S01012,10,
VILINBIO.NS,Vilin Bio Med Limited,SM,30-Jun-23,10,INE0L4V01013,10,
AATMAJ.NS,Aatmaj Healthcare Limited,SM,30-Jun-23,5,INE0OB201016,5,
CELLPOINT.NS,Cell Point (India) Limited,SM,28-Jun-23,10,INE0O0001013,10,
URBAN.NS,Urban Enviro Waste Management Limited,ST,22-Jun-23,10,INE0O0201019,10,
SPECTSTM.NS,Spectrum Talent Management Limited,ST,22-Jun-23,10,INE0OL001018,10,
KDL.NS,Kore Digital Limited,ST,14-Jun-23,10,INE0O4R01018,10,
SAHANA.NS,Sahana System Limited,ST,12-Jun-23,10,INE0LEX01011,10,
INFOLLION.NS,Infollion Research Services Limited,ST,08-Jun-23,10,INE0NNZ01013,10,
PROV.NS,Proventus Agrocom Limited,SM,05-Jun-23,10,INE0ONE01016,10,
CRAYONS.NS,Crayons Advertising Limited,SM,02-Jun-23,10,INE0OFK01019,10,
DENTALKART.NS,Vasa Denticity Limited,SM,02-Jun-23,10,INE0N5801013,10,
REMUS.NS,Remus Pharmaceuticals Limited,SM,29-May-23,10,INE0O5T01011,10,
KRISHCA.NS,Krishca Strapping Solutions Limited,SM,26-May-23,10,INE0NR701018,10,
AUROIMPEX.NS,Auro Impex  & Chemicals Limited,SM,23-May-23,10,INE0NUL01018,10,
DENEERS.NS,De Neers Tools Limited,ST,11-May-23,10,INE0JWV01011,10,
QUICKTOUCH.NS,Quicktouch Technologies Limited,ST,02-May-23,10,INE0K4D01020,10,
AGUL.NS,A G Universal Limited,SM,24-Apr-23,10,INE0O6N01012,10,
PATTECH.NS,Pattech Fitwell Tube Components Limited,ST,21-Apr-23,10,INE0NZW01014,10,
MOS.NS,Mos Utility Limited,ST,18-Apr-23,10,INE0N7S01010,10,
INFINIUM.NS,Infinium Pharmachem Limited,ST,17-Apr-23,10,INE0MRE01011,10,
SOTAC.NS,Sotac Pharmaceuticals Limited,SM,13-Apr-23,10,INE0O2D01012,10,
NIRMAN.NS,Nirman Agri Genetics Limited,ST,28-Mar-23,10,INE0OK701014,10,
QFIL.NS,Quality Foils (India) Limited,SM,24-Mar-23,10,INE0O1M01015,10,
VELS.NS,Vels Film International Limited,SM,22-Mar-23,10,INE0I3H01019,10,
MCON.NS,Mcon Rasayan India Limited,ST,20-Mar-23,10,INE0O4M01019,10,
SYSTANGO.NS,Systango Technologies Limited,SM,15-Mar-23,10,INE0O7R01011,10,
VERTEXPLUS.NS,Vertexplus Technologies Limited,SM,15-Mar-23,10,INE0NLB01018,10,
SRIVASAVI.NS,Srivasavi Adhesive Tapes Limited,SM,09-Mar-23,10,INE0NPI01014,10,
VIAZ.NS,Viaz Tyres Limited,SM,01-Mar-23,10,INE0MO401019,10,
AGARWALFT.NS,Agarwal Float Glass India Limited,SM,23-Feb-23,10,INE0MLA01012,10,
LRRPL.NS,Lead Reclaim And Rubber Products Limited,ST,21-Feb-23,10,INE0H4B01011,10,
SHERA.NS,Shera Energy Limited,SM,17-Feb-23,10,INE0MM001019,10,
GRCL.NS,Gayatri Rubbers And Chemicals Limited,ST,07-Feb-23,10,INE0LVM01018,10,
ARISTO.NS,Aristo Bio-Tech And Lifescience Limited,ST,30-Jan-23,10,INE082101010,10,
DUCOL.NS,Ducol Organics And Colours Limited,SM,19-Jan-23,10,INE0LZO01015,10,
CMNL.NS,Chaman Metallics Limited,ST,16-Jan-23,10,INE06PV01010,10,
ANLON.NS,Anlon Technology Solutions Limited,SM,10-Jan-23,10,INE0LR101013,10,
RBMINFRA.NS,Rbm Infracon Limited,ST,04-Jan-23,10,INE0NA301016,10,
HOMESFY.NS,Homesfy Realty Limited,SM,02-Jan-23,10,INE0N7F01017,10,
MOXSH.NS,Moxsh Overseas Educon Limited,SM,30-Dec-22,10,INE0N6D01014,10,
UMA.NS,Uma Converter Limited,SM,29-Dec-22,10,INE067901012,10,
ARIHANTACA.NS,Arihant Academy Limited,ST,29-Dec-22,10,INE0NCC01015,10,
DOLLEX.NS,Dollex Agrotech Limited,SM,28-Dec-22,10,INE0JHH01011,10,
ALLETEC.NS,All E Technologies Limited,ST,21-Dec-22,10,INE0M2X01012,10,
ARHAM.NS,Arham Technologies Limited,SM,15-Dec-22,10,INE0L2Y01011,10,
PRITIKA.NS,Pritika Engineering Components Limited,ST,08-Dec-22,10,INE0MJQ01012,10,
BAHETI.NS,Baheti Recycling Industries Limited,ST,08-Dec-22,10,INE029Q01017,10,
AMIABLE.NS,Amiable Logistics (India) Limited,SM,16-Nov-22,10,INE0MTP01013,10,
VITAL.NS,Vital Chemtech Limited,SM,14-Nov-22,10,INE0L4K01016,10,
IPSL.NS,Integrated Personnel Services Limited,ST,11-Nov-22,10,INE02EE01019,10,
RITEZONE.NS,Rite Zone Chemcon India Limited,SM,11-Nov-22,10,INE0MRA01019,10,
PHANTOMFX.NS,Phantom Digital Effects Limited,ST,21-Oct-22,10,INE0MLZ01019,10,
FROG.NS,Frog Cellsat Limited,SM,13-Oct-22,10,INE385O01018,10,
SWASTIK.NS,Swastik Pipe Limited,SM,12-Oct-22,10,INE0DGC01025,10,
QMSMEDI.NS,QMS Medical Allied Services Limited,SM,11-Oct-22,10,INE0FMW01018,10,
LLOYDS.NS,Lloyds Luxuries Limited,SM,11-Oct-22,10,INE0DTQ01028,10,
CMRSL.NS,Cyber Media Research & Services Limited,SM,10-Oct-22,10,INE075Z01011,10,
MAKS.NS,Maks Energy Solutions India Limited,SM,28-Sep-22,10,INE0CDK01019,10,
KANDARP.NS,Kandarp Digi Smart BPO Limited,ST,28-Sep-22,10,INE0MOT01016,10,
ANNAPURNA.NS,Annapurna Swadisht Limited,SM,27-Sep-22,10,INE0MGM01017,10,
CLOUD.NS,Varanium Cloud Limited,SZ,27-Sep-22,5,INE0JOO01021,5,
TAPIFRUIT.NS,Tapi Fruit Processing Limited,SM,22-Sep-22,10,INE0M7001010,10,
ISHAN.NS,Ishan International Limited,ST,22-Sep-22,1,INE0LCW01025,1,
SABAR.NS,Sabar Flex India Limited,ST,21-Sep-22,10,INE0DZ101013,10,
MEGAFLEX.NS,Mega Flex Plastics Limited,ST,19-Sep-22,10,INE0G1D01014,10,
VIVIANA.NS,Viviana Power Tech Limited,ST,16-Sep-22,10,INE0MEG01014,10,
JFLLIFE.NS,Jfl Life Sciences Limited,ST,08-Sep-22,10,INE0LA901015,10,
AMEYA.NS,Ameya Precision Engineers Limited,ST,08-Sep-22,10,INE0KT901015,10,
KORE.NS,Jay Jalaram Technologies Limited,ST,08-Sep-22,10,INE0J6801010,10,
VEEKAYEM.NS,Veekayem Fashion and Apparels Limited,ST,22-Aug-22,10,INE0KTW01013,10,
USASEEDS.NS,Upsurge Seeds Of Agriculture Limited,SM,11-Aug-22,10,INE0CBM01019,10,
AGNI.NS,Agni Green Power Limited,SM,01-Aug-22,10,INE0LF301013,10,
SKP.NS,SKP Bearing Industries Limited,SM,13-Jul-22,10,INE0KZA01016,10,
MWL.NS,Mangalam Worldwide Limited,SM,11-Jul-22,10,INE0JYY01011,10,
KCK.NS,Kck Industries Limited,ST,08-Jul-22,2,INE0J1E01027,2,
