Security Code,Issuer Name,SYMBOL,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
500002.BO.BO.BO,ABB India Limited,ABB.BO,ABB India Limited,Active,A ,2.0,INE117A01022,Heavy Electrical Equipment,Equity,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
500003.BO.BO.BO,Aegis Logistics Ltd.,AEGISLOG.BO,AEGIS LOGISTICS LTD.,Active,A ,1.0,INE208C01025,Trading - Gas,Equity,Energy,"Oil, Gas & Consumable Fuels",Gas,Trading - Gas
500008.BO.BO.BO,Amara Raja Energy & Mobility Limited,ARE&M.BO,Amara Raja Energy & Mobility Ltd,Active,A ,1.0,INE885A01032,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
500009.BO.BO.BO,Ambalal Sarabhai Enterprise Ltd.,AMBALALSA.BO,AMBALAL SARABHAI ENTERPRISES LTD.,Active,X ,10.0,INE432A01017,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
500012.BO.BO.BO,Andhra Petrochemicals Ltd.,ANDHRAPET.BO,ANDHRA PETROCHEMICALS LTD.,Active,X ,10.0,INE714B01016,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
500014.BO.BO.BO,UTIQUE ENTERPRISES LIMITED,UTIQUE.BO,Utique Enterprises Ltd,Active,X ,10.0,INE096A01010,Precious Metals,Equity,Commodities,Metals & Mining,Non - Ferrous Metals,Precious Metals
500016.BO.BO.BO,Aruna Hotels Ltd.,ARUNAHTEL.BO,ARUNA HOTELS LTD.,Active,X ,10.0,INE957C01019,Hotels & Resorts,Equity,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts
500020.BO.BO.BO,Bombay Dyeing & Mfg. Co. Ltd.,BOMDYEING.BO,BOMBAY DYEING & MFG.CO.LTD.,Active,A ,2.0,INE032A01023,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
500023.BO.BO.BO,Asian Hotels (North) Limited,ASIANHOTNR.BO,Asian Hotels (North) Limited,Active,T ,10.0,INE363A01022,Hotels & Resorts,Equity,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts
500027.BO.BO.BO,Atul Limited.,ATUL.BO,ATUL LTD.,Active,A ,10.0,INE100A01010,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
500028.BO.BO.BO,ATV Projects India Ltd,ATVPR.BO,ATV PROJECTS INDIA LTD.,Active,X ,10.0,INE447A01015,Industrial Products,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
500031.BO.BO.BO,Bajaj Electricals Ltd.,BAJAJELEC.BO,BAJAJ ELECTRICALS LTD.-$,Active,A ,2.0,INE193E01025,Household Appliances,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances
500032.BO.BO.BO,Bajaj Hindusthan Sugar Limited,BAJAJHIND.BO,Bajaj Hindusthan Sugar Limited,Active,A ,1.0,INE306A01021,Sugar,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
500033.BO.BO.BO,Force Motors Limited,FORCEMOT.BO,FORCE MOTORS LTD.-$,Active,A ,10.0,INE451A01017,Passenger Cars & Utility Vehicles,Equity,Consumer Discretionary,Automobile and Auto Components,Automobiles,Passenger Cars & Utility Vehicles
500034.BO.BO.BO,Bajaj Finance Limited,BAJFINANCE.BO,Bajaj Finance Limited,Active,A ,2.0,INE296A01024,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
500038.BO.BO.BO,Balrampur Chini Mills Ltd.,BALRAMCHIN.BO,BALRAMPUR CHINI MILLS LTD.,Active,A ,1.0,INE119A01028,Sugar,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
500039.BO.BO.BO,Banco Products (India) Ltd.,BANCOINDIA.BO,BANCO PRODUCTS (INDIA) LTD.-$,Active,B ,2.0,INE213C01025,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
500040.BO.BO.BO,ADITYA BIRLA REAL ESTATE LIMITED,ABREL.BO,Aditya Birla Real Estate Ltd,Active,A ,10.0,INE055A01016,Paper & Paper Products,Equity,Commodities,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products
500041.BO.BO.BO,Bannari Amman Sugars Ltd.,BANARISUG.BO,BANNARI AMMAN SUGARS LTD.,Active,B ,10.0,INE459A01010,Sugar,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
500042.BO.BO.BO,BASF India Ltd,BASF.BO,BASF INDIA LTD.,Active,A ,10.0,INE373A01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
500043.BO.BO.BO,Bata India Limited,BATAINDIA.BO,BATA INDIA LTD.,Active,A ,5.0,INE176A01028,Footwear,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Footwear
500048.BO.BO.BO,BEML Ltd,BEML.BO,BEML LTD.,Active,A ,10.0,INE258A01016,Construction Vehicles,Equity,Industrials,Capital Goods,"Agricultural, Commercial & Construction Vehicles",Construction Vehicles
500049.BO.BO.BO,Bharat Electronics Ltd.,BEL.BO,BHARAT ELECTRONICS LTD.,Active,A ,1.0,INE263A01024,Aerospace & Defense,Equity,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
500052.BO.BO.BO,Bhansali Engineering Polymers Ltd.,BEPL.BO,BHANSALI ENGINEERING POLYMERS LTD.-$,Active,B ,1.0,INE922A01025,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
500058.BO.BO.BO,Bihar Sponge Iron Ltd,BIHSPONG.BO,BIHAR SPONGE IRON LTD.,Active,X ,10.0,INE819C01011,Sponge Iron,Equity,Commodities,Metals & Mining,Ferrous Metals,Sponge Iron
500059.BO.BO.BO,Binani Industries Limited,BINANIIND.BO,BINANI INDUSTRIES LTD.,Active,B ,10.0,INE071A01013,Holding Company,Equity,Financial Services,Financial Services,Finance,Holding Company
500060.BO.BO.BO,Birla Cable Limited,BIRLACABLE.BO,Birla Cable Ltd,Active,B ,10.0,INE800A01015,Telecom -  Equipment & Accessories,Equity,Telecommunication,Telecommunication,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories
500067.BO.BO.BO,Blue Star Ltd,BLUESTARCO.BO,BLUE STAR LTD.,Active,A ,2.0,INE472A01039,Household Appliances,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances
500068.BO.BO.BO,Disa India Ltd.,DISAQ.BO,DISA INDIA LTD.,Active,B ,10.0,INE131C01011,Industrial Products,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
500069.BO.BO.BO,QUEST CAPITAL MARKETS LIMITED,QUESTCAP.BO,Quest Capital Markets Ltd,Active,X ,10.0,INE418C01012,Other Capital Market related Services,Equity,Financial Services,Financial Services,Capital Markets,Other Capital Market related Services
500074.BO.BO.BO,BPL Ltd.,BPL.BO,BPL LTD.,Active,B ,10.0,INE110A01019,Consumer Electronics,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Consumer Electronics
500078.BO.BO.BO,ORIENTAL AROMATICS LIMITED,OAL.BO,Oriental Aromatics Ltd-$,Active,B ,5.0,INE959C01023,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
500083.BO.BO.BO,Century Extrusions Ltd.,CENTEXT.BO,CENTURY EXTRUSIONS LTD.,Active,B ,1.0,INE281A01026,Aluminium- Copper & Zinc Products,Equity,Industrials,Capital Goods,Industrial Products,"Aluminium, Copper & Zinc Products"
500084.BO.BO.BO,CESC Limited,CESC.BO,CESC LTD.,Active,A ,1.0,INE486A01021,Integrated Power Utilities,Equity,Utilities,Power,Power,Integrated Power Utilities
500085.BO.BO.BO,Chambal Fertilisers & Chemicals Ltd,CHAMBLFERT.BO,CHAMBAL FERTILISERS & CHEMICALS LTD.,Active,A ,10.0,INE085A01013,Fertilizers,Equity,Commodities,Chemicals,Fertilizers & Agrochemicals,Fertilizers
500086.BO.BO.BO,Exide Industries Ltd.,EXIDEIND.BO,EXIDE INDUSTRIES LTD.,Active,A ,1.0,INE302A01020,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
500087.BO.BO.BO,Cipla Ltd.,CIPLA.BO,CIPLA LTD.,Active,A ,2.0,INE059A01026,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
500089.BO.BO.BO,DIC India Ltd,DICIND.BO,DIC INDIA LTD.,Active,B ,10.0,INE303A01010,Printing Inks,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Printing Inks
500092.BO.BO.BO,CRISIL Ltd.,CRISIL.BO,CRISIL LTD.,Active,A ,1.0,INE007A01025,Other Financial Services,Equity,Financial Services,Financial Services,Finance,Other Financial Services
500093.BO.BO.BO,CG Power and Industrial Solutions Limited,CGPOWER.BO,CG Power and Industrial Solutions Ltd,Active,A ,2.0,INE067A01029,Heavy Electrical Equipment,Equity,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
500096.BO.BO.BO,Dabur India Ltd.,DABUR.BO,DABUR INDIA LTD.,Active,A ,1.0,INE016A01026,Personal Care,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care
500097.BO.BO.BO,Dalmia Bharat Sugar and Industries Ltd,DALMIASUG.BO,Dalmia Bharat Sugar and Industries Ltd,Active,B ,2.0,INE495A01022,Sugar,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
500101.BO.BO.BO,Arvind Ltd.,ARVIND.BO,ARVIND LTD.,Active,A ,10.0,INE034A01011,Garments & Apparels,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels
500103.BO.BO.BO,Bharat Heavy Electricals Ltd.,BHEL.BO,BHARAT HEAVY ELECTRICALS LTD.,Active,A ,2.0,INE257A01026,Heavy Electrical Equipment,Equity,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
500104.BO.BO.BO,Hindustan Petroleum Corporation Ltd,HINDPETRO.BO,HINDUSTAN PETROLEUM CORPORATION LTD.,Active,A ,10.0,INE094A01015,Refineries & Marketing,Equity,Energy,"Oil, Gas & Consumable Fuels",Petroleum Products,Refineries & Marketing
500106.BO.BO.BO,IFCI Ltd.,IFCI.BO,IFCI LTD.,Active,A ,10.0,INE039A01010,Financial Institution,Equity,Financial Services,Financial Services,Finance,Financial Institution
500108.BO.BO.BO,Mahanagar Telephone Nigam Ltd.,MTNL.BO,MAHANAGAR TELEPHONE NIGAM LTD.,Active,A ,10.0,INE153A01019,Telecom - Cellular & Fixed line services,Equity,Telecommunication,Telecommunication,Telecom - Services,Telecom - Cellular & Fixed line services
500109.BO.BO.BO,Mangalore Refinery & Petrochemicals,MRPL.BO,MANGALORE REFINERY & PETROCHEMICALS LTD.,Active,A ,10.0,INE103A01014,Refineries & Marketing,Equity,Energy,"Oil, Gas & Consumable Fuels",Petroleum Products,Refineries & Marketing
500110.BO.BO.BO,Chennai Petroleum Corporation Ltd.,CHENNPETRO.BO,CHENNAI PETROLEUM CORPORATION LTD.,Active,A ,10.0,INE178A01016,Refineries & Marketing,Equity,Energy,"Oil, Gas & Consumable Fuels",Petroleum Products,Refineries & Marketing
500112.BO.BO.BO,State Bank Of India,SBIN.BO,STATE BANK OF INDIA,Active,A ,1.0,INE062A01020,Public Sector Bank,Equity,Financial Services,Financial Services,Banks,Public Sector Bank
500113.BO.BO.BO,Steel Authority of India Ltd.,SAIL.BO,STEEL AUTHORITY OF INDIA LTD.,Active,A ,10.0,INE114A01011,Iron & Steel,Equity,Commodities,Metals & Mining,Ferrous Metals,Iron & Steel
500114.BO.BO.BO,Titan Company Limited,TITAN.BO,Titan Company Limited,Active,A ,1.0,INE280A01028,Gems- Jewellery And Watches,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
500116.BO.BO.BO,IDBI Bank Ltd,IDBI.BO,IDBI BANK LTD.,Active,A ,10.0,INE008A01015,Private Sector Bank,Equity,Financial Services,Financial Services,Banks,Private Sector Bank
500117.BO.BO.BO,DCW Ltd.,DCW.BO,DCW LTD.,Active,A ,2.0,INE500A01029,Petrochemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Petrochemicals
500119.BO.BO.BO,Dhampur Sugar Mills Ltd.,DHAMPURSUG.BO,DHAMPUR SUGAR MILLS LTD.,Active,B ,10.0,INE041A01016,Sugar,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
500120.BO.BO.BO,Diamines & Chemicals Ltd.,DIAMINESQ.BO,DIAMINES & CHEMICALS LTD.-$,Active,B ,10.0,INE591D01014,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
500123.BO.BO.BO,Elantas Beck India Ltd,ELANTAS.BO,ELANTAS BECK INDIA LTD.-$,Active,B ,10.0,INE280B01018,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
500124.BO.BO.BO,Dr. Reddy's Laboratories Ltd.,DRREDDY.BO,DR.REDDY'S LABORATORIES LTD.,Active,A ,1.0,INE089A01031,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
500125.BO.BO.BO,E.I.D. Parry (India) Ltd.,EIDPARRY.BO,E.I.D.-PARRY (INDIA) LTD.,Active,A ,1.0,INE126A01031,Fertilizers,Equity,Commodities,Chemicals,Fertilizers & Agrochemicals,Fertilizers
500126.BO.BO.BO,PROCTER & GAMBLE HEALTH LIMITED,PGHL.BO,Procter & Gamble Health Ltd,Active,A ,10.0,INE199A01012,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
500128.BO.BO.BO,Electrosteel Castings Ltd.,ELECTCAST.BO,ELECTROSTEEL CASTINGS LTD.,Active,A ,1.0,INE086A01029,Iron & Steel Products,Equity,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
500133.BO.BO.BO,Esab India Ltd.,ESABINDIA.BO,ESAB INDIA LTD.,Active,A ,10.0,INE284A01012,Other Industrial Products,Equity,Industrials,Capital Goods,Industrial Products,Other Industrial Products
500135.BO.BO.BO,EPL LIMITED,EPL.BO,EPL Ltd,Active,A ,2.0,INE255A01020,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging
500136.BO.BO.BO,Ester Industries Ltd.,ESTER.BO,ESTER INDUSTRIES LTD.,Active,B ,5.0,INE778B01029,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging
500142.BO.BO.BO,FGP Ltd,FGP.BO,FGP LTD.,Active,XT,10.0,INE512A01016,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
500143.BO.BO.BO,P.H. Capital Ltd.,PHCAP.BO,PH CAPITAL LTD.,Active,XT,10.0,INE160F01013,Investment Company,Equity,Financial Services,Financial Services,Finance,Investment Company
500144.BO.BO.BO,Finolex Cables Ltd.,FINCABLES.BO,FINOLEX CABLES LTD.,Active,A ,2.0,INE235A01022,Cables - Electricals,Equity,Industrials,Capital Goods,Industrial Products,Cables - Electricals
500147.BO.BO.BO,JOHN COCKERILL INDIA LIMITED,COCKERILL.BO,John Cockerill India Ltd-$,Active,B ,10.0,INE515A01019,Industrial Products,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
500148.BO.BO.BO,Uflex Limited,UFLEX.BO,UFLEX LTD.,Active,B ,10.0,INE516A01017,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging
500150.BO.BO.BO,Foseco India Ltd,FOSECOIND.BO,FOSECO INDIA LTD.,Active,B ,10.0,INE519A01011,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
500151.BO.BO.BO,Golden Tobacco Ltd.,GOLDENTOBC.BO,GOLDEN TOBACCO LTD.,Active,Z ,10.0,INE973A01010,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
500153.BO.BO.BO,Ganesh Benzoplast Ltd.,GANESHBE.BO,GANESH BENZOPLAST LTD.,Active,B ,1.0,INE388A01029,Oil Storage & Transportation,Equity,Energy,"Oil, Gas & Consumable Fuels",Oil,Oil Storage & Transportation
500159.BO.BO.BO,Metroglobal Limited,METROGLOBL.BO,Metroglobal Limited,Active,X ,10.0,INE085D01033,Trading & Distributors,Equity,Services,Services,Commercial Services & Supplies,Trading & Distributors
500160.BO.BO.BO,GTL Ltd,GTL.BO,GTL LTD.,Active,B ,10.0,INE043A01012,Other Telecom Services,Equity,Telecommunication,Telecommunication,Telecom - Services,Other Telecom Services
500163.BO.BO.BO,Godfrey Phillips India Ltd.,GODFRYPHLP.BO,GODFREY PHILLIPS INDIA LTD.,Active,A ,2.0,INE260B01028,Cigarettes & Tobacco Products,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Cigarettes & Tobacco Products,Cigarettes & Tobacco Products
500164.BO.BO.BO,Godrej Industries Ltd.,GODREJIND.BO,GODREJ INDUSTRIES LTD.,Active,A ,1.0,INE233A01035,Diversified,Equity,Diversified,Diversified,Diversified,Diversified
500165.BO.BO.BO,Kansai Nerolac Paints,KANSAINER.BO,KANSAI NEROLAC PAINTS LTD.,Active,A ,1.0,INE531A01024,Paints,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Paints
500166.BO.BO.BO,Goodricke Group Ltd.,GOODRICKE.BO,GOODRICKE GROUP LTD.,Active,X ,10.0,INE300A01016,Tea & Coffee,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Tea & Coffee
500168.BO.BO.BO,Goodyear India Ltd.,GOODYEAR.BO,GOODYEAR INDIA LTD.,Active,B ,10.0,INE533A01012,Tyres & Rubber Products,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Tyres & Rubber Products
500170.BO.BO.BO,GTN Industries Limited,GTNINDS.BO,GTN INDUSTRIES LTD.,Active,X ,10.0,INE537A01013,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
500171.BO.BO.BO,GHCL Ltd.,GHCL.BO,GHCL LTD.,Active,A ,10.0,INE539A01019,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
500173.BO.BO.BO,GFL LIMITED,GFLLIMITED.BO,GFL Ltd,Active,B ,1.0,INE538A01037,Holding Company,Equity,Financial Services,Financial Services,Finance,Holding Company
500174.BO.BO.BO,Gujarat Lease Financing Limited,GLFL.BO,GUJARAT LEASE FINANCING LTD.,Active,T ,10.0,INE540A01017,Other Financial Services,Equity,Financial Services,Financial Services,Finance,Other Financial Services
500179.BO.BO.BO,HCL Infosystems Ltd,HCL-INSYS.BO,HCL INFOSYSTEMS LTD.,Active,B ,2.0,INE236A01020,Computers Hardware & Equipments,Equity,Information Technology,Information Technology,IT - Hardware,Computers Hardware & Equipments
500180.BO.BO.BO,HDFC Bank Ltd.,HDFCBANK.BO,HDFC Bank Ltd,Active,A ,1.0,INE040A01034,Private Sector Bank,Equity,Financial Services,Financial Services,Banks,Private Sector Bank
500182.BO.BO.BO,Hero MotoCorp Limited,HEROMOTOCO.BO,HERO MOTOCORP LTD.,Active,A ,2.0,INE158A01026,2/3 Wheelers,Equity,Consumer Discretionary,Automobile and Auto Components,Automobiles,2/3 Wheelers
500183.BO.BO.BO,HFCL LIMITED,HFCL.BO,HFCL Ltd,Active,A ,1.0,INE548A01028,Telecom - Infrastructure,Equity,Telecommunication,Telecommunication,Telecom - Services,Telecom - Infrastructure
500184.BO.BO.BO,Himadri Speciality Chemical Ltd.,HSCL.BO,Himadri Speciality Chemical Ltd,Active,A ,1.0,INE019C01026,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
500185.BO.BO.BO,Hindustan Construction Co. Ltd.,HCC.BO,HINDUSTAN CONSTRUCTION CO.LTD.,Active,A ,1.0,INE549A01026,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction
500186.BO.BO.BO,Hindustan Oil Exploration Co. Ltd.,HINDOILEXP.BO,HINDUSTAN OIL EXPLORATION CO.LTD.,Active,A ,10.0,INE345A01011,Oil Exploration & Production,Equity,Energy,"Oil, Gas & Consumable Fuels",Oil,Oil Exploration & Production
500187.BO.BO.BO,AGI GREENPAC LIMITED,AGI.BO,Agi Greenpac Ltd,Active,A ,2.0,INE415A01038,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging
500188.BO.BO.BO,Hindustan Zinc Ltd.,HINDZINC.BO,HINDUSTAN ZINC LTD.,Active,A ,2.0,INE267A01025,Zinc,Equity,Commodities,Metals & Mining,Non - Ferrous Metals,Zinc
500189.BO.BO.BO,NDL Ventures Limited,NDLVENTURE.BO,NDL Ventures Ltd,Active,B ,10.0,INE353A01023,Other Financial Services,Equity,Financial Services,Financial Services,Finance,Other Financial Services
500191.BO.BO.BO,HMT Limited,HMT.BO,HMT LTD.,Active,Z ,10.0,INE262A01018,Industrial Products,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
500192.BO.BO.BO,Prag Bosimi Synthetics Ltd.,PRAGBOS.BO,PRAG BOSIMI SYNTHETICS LTD.,Active,X ,10.0,INE962B01011,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
500193.BO.BO.BO,HLV LIMITED,HLVLTD.BO,HLV Ltd,Active,B ,2.0,INE102A01024,Hotels & Resorts,Equity,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts
500199.BO.BO.BO,IG Petrochemicals Ltd,IGPL.BO,I G PETROCHEMICALS LTD.,Active,B ,10.0,INE204A01010,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
500201.BO.BO.BO,India Glycols Ltd,INDIAGLYCO.BO,INDIA GLYCOLS LTD.,Active,B ,10.0,INE560A01015,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
500202.BO.BO.BO,India Lease Devl. Ltd.,INDLEASE.BO,INDIA LEASE DEVELOPMENT LTD.,Active,X ,10.0,INE333C01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
500206.BO.BO.BO,Margo Finance Limited,MARGOFIN.BO,Margo Finance Limited,Active,XT,10.0,INE680B01019,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
500207.BO.BO.BO,Indo Rama Synthetics (India) Ltd.,INDORAMA.BO,INDO RAMA SYNTHETICS (INDIA) LTD.,Active,B ,10.0,INE156A01020,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
500209.BO.BO.BO,Infosys Ltd,INFY.BO,INFOSYS LTD.,Active,A ,5.0,INE009A01021,Computers - Software & Consulting,Equity,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
500210.BO.BO.BO,Ingersoll-Rand (India) Ltd.,INGERRAND.BO,INGERSOLL-RAND (INDIA) LTD.,Active,A ,10.0,INE177A01018,Compressors- Pumps & Diesel Engines,Equity,Industrials,Capital Goods,Industrial Products,"Compressors, Pumps & Diesel Engines"
500213.BO.BO.BO,International Travel House Ltd,ITHL.BO,INTERNATIONAL TRAVEL HOUSE LTD.-$,Active,X ,10.0,INE262B01016,"Tour, Travel Related Services",Equity,Consumer Discretionary,Consumer Services,Leisure Services,"Tour, Travel Related Services"
500214.BO.BO.BO,Ion Exchange (India) Ltd,IONEXCHANG.BO,ION EXCHANGE (INDIA) LTD.-$,Active,A ,1.0,INE570A01022,Water Supply & Management,Equity,Utilities,Utilities,Other Utilities,Water Supply & Management
500215.BO.BO.BO,Agro Tech Foods Ltd,ATFL.BO,AGRO TECH FOODS LTD.,Active,B ,10.0,INE209A01019,Edible Oil,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil
500219.BO.BO.BO,Jain Irrigation Systems Ltd.,JISLJALEQS.BO,JAIN IRRIGATION SYSTEMS LTD.,Active,A ,2.0,INE175A01038,Plastic Products - Industrial,Equity,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial
500220.BO.BO.BO,Jasch Industries Ltd.,JASCH.BO,JASCH INDUSTRIES LTD.,Active,X ,10.0,INE711C01028,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
500227.BO.BO.BO,Jindal Poly Films Ltd.,JINDALPOLY.BO,JINDAL POLY FILMS LTD.,Active,B ,10.0,INE197D01010,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging
500228.BO.BO.BO,JSW Steel Limited,JSWSTEEL.BO,JSW STEEL LTD.,Active,A ,1.0,INE019A01038,Iron & Steel,Equity,Commodities,Metals & Mining,Ferrous Metals,Iron & Steel
500231.BO.BO.BO,Umang Dairies Limited,UMANGDAIRY.BO,UMANG DAIRIES LTD.,Active,T ,5.0,INE864B01027,Dairy Products,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Dairy Products
500233.BO.BO.BO,Kajaria Ceramics Ltd,KAJARIACER.BO,KAJARIA CERAMICS LTD.,Active,A ,1.0,INE217B01036,Ceramics,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Ceramics
500234.BO.BO.BO,Kakatiya Cement Sugar & Industries Ltd.,KAKATCEM.BO,KAKATIYA CEMENT SUGAR & INDUSTRIES LTD.,Active,B ,10.0,INE437B01014,Cement & Cement Products,Equity,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products
500235.BO.BO.BO,Kalyani Steels Ltd,KSL.BO,KALYANI STEELS LTD.,Active,B ,5.0,INE907A01026,Iron & Steel Products,Equity,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
500238.BO.BO.BO,Whirlpool of India Ltd,WHIRLPOOL.BO,WHIRLPOOL OF INDIA LTD.,Active,A ,10.0,INE716A01013,Household Appliances,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances
500239.BO.BO.BO,K.G.Denim Ltd,KGDENIM.BO,KG DENIM LTD.,Active,X ,10.0,INE104A01012,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
500240.BO.BO.BO,Kinetic Engineering Ltd.,KINETICENG.BO,KINETIC ENGINEERING LTD.,Active,X ,10.0,INE266B01017,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
500241.BO.BO.BO,Kirloskar Brothers Ltd.,KIRLOSBROS.BO,KIRLOSKAR BROTHERS LTD.-$,Active,A ,2.0,INE732A01036,Compressors- Pumps & Diesel Engines,Equity,Industrials,Capital Goods,Industrial Products,"Compressors, Pumps & Diesel Engines"
500243.BO.BO.BO,Kirloskar Industries Ltd,KIRLOSIND.BO,Kirloskar Industries Ltd,Active,B ,10.0,INE250A01039,Other Industrial Products,Equity,Industrials,Capital Goods,Industrial Products,Other Industrial Products
