Security Code,Issuer Name,SYMBOL,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
532892.BO.BO.BO,Motilal Oswal Financial Services Limited,MOTILALOFS.BO,MOTILAL OSWAL FINANCIAL SERVICES LTD.,Active,A ,1.0,INE338I01027,Stockbroking & Allied,Equity,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied
532893.BO.BO.BO,VTM Ltd,VTMLTD.BO,VTM LTD.,Active,XT,1.0,INE222F01029,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
532894.BO.BO.BO,Indowind Energy Ltd.,INDOWIND.BO,INDOWIND ENERGY LTD.,Active,B ,10.0,INE227G01018,Power Generation,Equity,Utilities,Power,Power,Power Generation
532895.BO.BO.BO,Nagreeka Capital & Infrastructure Limited,NAGREEKCAP.BO,NAGREEKA CAPITAL & INFRASTRUCTURE LTD.,Active,T ,5.0,INE245I01016,Investment Company,Equity,Financial Services,Financial Services,Finance,Investment Company
532896.BO.BO.BO,MAGNUM VENTURES LIMITED,MAGNUM.BO,MAGNUM VENTURES LTD.,Active,B ,10.0,INE387I01016,Paper & Paper Products,Equity,Commodities,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products
532898.BO.BO.BO,POWER GRID CORPORATION OF INDIA LIMITED,POWERGRID.BO,POWER GRID CORPORATION OF INDIA LTD.,Active,A ,10.0,INE752E01010,Power - Transmission,Equity,Utilities,Power,Power,Power - Transmission
532899.BO.BO.BO,Kaveri Seed Company Ltd,KSCL.BO,KAVERI SEED COMPANY LTD.,Active,A ,2.0,INE455I01029,Other Agricultural Products,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products
532900.BO.BO.BO,PAISALO DIGITAL LIMITED,PAISALO.BO,Paisalo Digital Ltd,Active,A ,1.0,INE420C01059,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
532902.BO.BO.BO,Consolidated Construction Consortium Ltd,CCCL.BO,CONSOLIDATED CONSTRUCTION CONSORTIUM LTD.,Active,T ,2.0,INE429I01024,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
532904.BO.BO.BO,Supreme Infrastructure India Limited,SUPREMEINF.BO,SUPREME INFRASTRUCTURE INDIA LTD.,Active,Z ,10.0,INE550H01011,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction
532906.BO.BO.BO,MAAN ALUMINIUM LIMITED,MAANALU.BO,MAAN ALUMINIUM LTD.,Active,T ,5.0,INE215I01027,Aluminium,Equity,Commodities,Metals & Mining,Non - Ferrous Metals,Aluminium
532907.BO.BO.BO,IL&FS Engineering and Construction Company Ltd,IL&FSENGG.BO,IL&FS ENGINEERING AND CONSTRUCTION COMPANY LTD.,Active,Z ,10.0,INE369I01014,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction
532911.BO.BO.BO,PARLE INDUSTRIES LIMITED,PARLEIND.BO,Parle Industries Ltd,Active,XT,10.0,INE272G01014,Diversified Commercial Services,Equity,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
532915.BO.BO.BO,Religare Enterprises Ltd,RELIGARE.BO,RELIGARE ENTERPRISES LTD.,Active,A ,10.0,INE621H01010,Investment Company,Equity,Financial Services,Financial Services,Finance,Investment Company
532916.BO.BO.BO,BARAK VALLEY CEMENTS LIMITED,BVCL.BO,BARAK VALLEY CEMENTS LTD.,Active,B ,10.0,INE139I01011,Cement & Cement Products,Equity,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products
532918.BO.BO.BO,RATHI BARS LIMITED,RATHIBAR.BO,RATHI BARS LTD.,Active,X ,10.0,INE575I01016,Iron & Steel Products,Equity,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
532921.BO.BO.BO,Adani Ports and Special Economic Zone Ltd,ADANIPORTS.BO,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.,Active,A ,2.0,INE742F01042,Port & Port services,Equity,Services,Services,Transport Infrastructure,Port & Port services
532922.BO.BO.BO,Edelweiss Financial Services Ltd.,EDELWEISS.BO,Edelweiss Financial Services Ltd.,Active,A ,1.0,INE532F01054,Holding Company,Equity,Financial Services,Financial Services,Finance,Holding Company
532923.BO.BO.BO,RENAISSANCE GLOBAL LIMITED,RGL.BO,Renaissance Global Ltd,Active,B ,2.0,INE722H01024,Gems- Jewellery And Watches,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
532924.BO.BO.BO,Kolte-Patil Developers Ltd,KOLTEPATIL.BO,KOLTE-PATIL DEVELOPERS LTD.,Active,B ,10.0,INE094I01018,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
532925.BO.BO.BO,Kaushalya Infrastructure Development Corporation Ltd,KAUSHALYA.BO,KAUSHALYA INFRASTRUCTURE DEVELOPMENT CORPORATION LTD.,Active,B ,1000.0,INE234I01028,Hotels & Resorts,Equity,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts
532926.BO.BO.BO,JYOTHY LABS LIMITED,JYOTHYLAB.BO,Jyothy Labs Ltd,Active,A ,1.0,INE668F01031,Household Products,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Household Products,Household Products
532927.BO.BO.BO,eClerx Services Limited,ECLERX.BO,ECLERX SERVICES LTD.,Active,A ,10.0,INE738I01010,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),Equity,Services,Services,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)
532928.BO.BO.BO,Transformers and Rectifiers (India) Limited,TARIL.BO,TRANSFORMERS AND RECTIFIERS (INDIA) LTD.,Active,T ,1.0,INE763I01026,Heavy Electrical Equipment,Equity,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
532929.BO.BO.BO,Brigade Enterprises Limited,BRIGADE.BO,BRIGADE ENTERPRISES LTD.,Active,A ,10.0,INE791I01019,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
532930.BO.BO.BO,BGR ENERGY SYSTEMS LIMITED,BGRENERGY.BO,BGR ENERGY SYSTEMS LTD.,Active,T ,10.0,INE661I01014,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction
532931.BO.BO.BO,Burnpur Cement Limited,BURNPUR.BO,BURNPUR CEMENT LTD.,Active,B ,10.0,INE817H01014,Cement & Cement Products,Equity,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products
532932.BO.BO.BO,MANAKSIA LIMITED,MANAKSIA.BO,MANAKSIA LTD.,Active,B ,2.0,INE015D01022,Iron & Steel Products,Equity,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
532933.BO.BO.BO,PORWAL AUTO COMPONENTS LIMITED,PORWAL.BO,PORWAL AUTO COMPONENTS LTD.,Active,X ,10.0,INE386I01018,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
532934.BO.BO.BO,PPAP Automotive Limited,PPAP.BO,PPAP Automotive Limited,Active,B ,10.0,INE095I01015,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
532935.BO.BO.BO,Aries Agro Limited,ARIES.BO,ARIES AGRO LTD.,Active,T ,10.0,INE298I01015,Fertilizers,Equity,Commodities,Chemicals,Fertilizers & Agrochemicals,Fertilizers
532937.BO.BO.BO,Kuantum Papers Limited,KUANTUM.BO,KUANTUM PAPERS LTD.,Active,B ,1.0,INE529I01021,Paper & Paper Products,Equity,Commodities,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products
532939.BO.BO.BO,Reliance Power Limited,RPOWER.BO,RELIANCE POWER LTD.,Active,A ,10.0,INE614G01033,Power Generation,Equity,Utilities,Power,Power,Power Generation
532940.BO.BO.BO,J. Kumar Infraprojects Limited,JKIL.BO,J.KUMAR INFRAPROJECTS LTD.,Active,A ,5.0,INE576I01022,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction
532941.BO.BO.BO,Cords Cable Industries Limited,CORDSCABLE.BO,CORDS CABLE INDUSTRIES LTD.,Active,B ,10.0,INE792I01017,Cables - Electricals,Equity,Industrials,Capital Goods,Industrial Products,Cables - Electricals
532942.BO.BO.BO,KNR Constructions Limited,KNRCON.BO,KNR CONSTRUCTIONS LTD.,Active,A ,2.0,INE634I01029,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction
