SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
OAL.NS,Oriental Aromatics Limited,EQ,11-JUL-2019,5,1,INE959C01023,5
OBCL.NS,Orissa Bengal Carrier Limited,EQ,07-APR-2022,10,1,INE426Z01016,10
OBEROIRLTY.NS,Oberoi Realty Limited,EQ,20-OCT-2010,10,1,INE093I01010,10
OCCL.NS,Oriental Carbon & Chemicals Limited,EQ,27-JAN-2016,10,1,INE321D01016,10
OCCLLTD.NS,OCCL Limited,EQ,29-OCT-2024,2,1,INE0PK601023,2
ODIGMA.NS,Odigma Consultancy Solutions Limited,BE,12-DEC-2024,1,1,INE054301028,1
OFSS.NS,Oracle Financial Services Software Limited,EQ,28-JUN-2002,5,1,INE881D01027,5
OIL.NS,Oil India Limited,EQ,30-SEP-2009,10,1,INE274J01014,10
OILCOUNTUB.NS,Oil Country Tubular Limited,BE,30-AUG-1995,10,1,INE591A01010,10
OLAELEC.NS,Ola Electric Mobility Limited,EQ,09-AUG-2024,10,1,INE0LXG01040,10
OLECTRA.NS,Olectra Greentech Limited,EQ,20-MAR-2002,4,1,INE260D01016,4
OMAXAUTO.NS,Omax Autos Limited,EQ,20-FEB-2003,10,1,INE090B01011,10
OMAXE.NS,Omaxe Limited,EQ,09-AUG-2007,10,1,INE800H01010,10
OMINFRAL.NS,OM INFRA LIMITED,EQ,17-JUN-2011,1,1,INE239D01028,1
OMKARCHEM.NS,Omkar Speciality Chemicals Limited,BZ,10-FEB-2011,10,1,INE474L01016,10
ONELIFECAP.NS,Onelife Capital Advisors Limited,EQ,17-OCT-2011,10,1,INE912L01015,10
ONEPOINT.NS,One Point One Solutions Limited,EQ,09-MAY-2019,2,1,INE840Y01029,2
ONGC.NS,Oil & Natural Gas Corporation Limited,EQ,19-JUL-1995,5,1,INE213A01029,5
ONMOBILE.NS,OnMobile Global Limited,EQ,19-FEB-2008,10,1,INE809I01019,10
ONWARDTEC.NS,Onward Technologies Limited,EQ,07-MAR-2001,10,1,INE229A01017,10
OPTIEMUS.NS,Optiemus Infracom Limited,EQ,08-AUG-2017,10,1,INE350C01017,10
ORBTEXP.NS,Orbit Exports Limited,BE,05-NOV-2013,10,1,INE231G01010,10
ORCHPHARMA.NS,Orchid Pharma Limited,EQ,02-NOV-2020,10,1,INE191A01027,10
ORICONENT.NS,Oricon Enterprises Limited,EQ,24-JUL-2015,2,1,INE730A01022,2
ORIENTALTL.NS,Oriental Trimex Limited,EQ,07-MAR-2007,10,1,INE998H01012,10
ORIENTBELL.NS,Orient Bell Limited,EQ,14-FEB-2007,10,1,INE607D01018,10
ORIENTCEM.NS,Orient Cement Limited,EQ,12-JUL-2013,1,1,INE876N01018,1
ORIENTCER.NS,ORIENT CERATECH LIMITED,EQ,15-DEC-2005,1,1,INE569C01020,1
ORIENTELEC.NS,Orient Electric Limited,EQ,14-MAY-2018,1,1,INE142Z01019,1
