SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
REPL.NS,Rudrabhishek Enterprises Limited,BE,14-DEC-2020,10,1,INE364Z01019,10
REPRO.NS,Repro India Limited,EQ,22-DEC-2005,10,1,INE461B01014,10
RESPONIND.NS,Responsive Industries Limited,EQ,29-OCT-2010,1,1,INE688D01026,1
RETAIL.NS,JHS Svendgaard Retail Ventures Limited,EQ,26-JUN-2024,10,1,INE03DD01011,10
RGL.NS,Renaissance Global Limited,EQ,12-DEC-2007,2,1,INE722H01024,2
RHFL.NS,Reliance Home Finance Limited,BE,22-SEP-2017,10,1,INE217K01011,10
RHIM.NS,RHI MAGNESITA INDIA LIMITED,EQ,12-MAR-2012,1,1,INE743M01012,1
RHL.NS,Robust Hotels Limited,BE,25-APR-2023,10,1,INE508K01013,10
RICOAUTO.NS,Rico Auto Industries Limited,EQ,12-MAY-2003,1,1,INE209B01025,1
RIIL.NS,Reliance Industrial Infrastructure Limited,EQ,29-NOV-1995,10,1,INE046A01015,10
RISHABH.NS,Rishabh Instruments Limited,EQ,11-SEP-2023,10,1,INE0N2P01017,10
RITCO.NS,Ritco Logistics Limited,EQ,12-APR-2022,10,1,INE01EG01016,10
RITES.NS,RITES Limited,EQ,02-JUL-2018,10,1,INE320J01015,10
RKDL.NS,Ravi Kumar Distilleries Limited,BE,27-DEC-2010,10,1,INE722J01012,10
RKEC.NS,RKEC Projects Limited,EQ,18-DEC-2020,10,1,INE786W01010,10
RKFORGE.NS,Ramkrishna Forgings Limited,EQ,05-MAY-2004,2,1,INE399G01023,2
RKSWAMY.NS,R K Swamy Limited,EQ,12-MAR-2024,5,1,INE0NQ801033,5
RML.NS,Rane (Madras) Limited,EQ,30-AUG-2005,10,1,INE050H01012,10
ROHLTD.NS,Royal Orchid Hotels Limited,EQ,06-FEB-2006,10,1,INE283H01019,10
ROLEXRINGS.NS,Rolex Rings Limited,EQ,09-AUG-2021,10,1,INE645S01016,10
ROLLT.NS,Rollatainers Limited,BE,22-NOV-2016,1,1,INE927A01040,1
ROLTA.NS,Rolta India Limited,BZ,01-MAR-1995,10,1,INE293A01013,10
ROML.NS,Raj Oil Mills Limited,EQ,06-OCT-2020,10,1,INE294G01026,10
ROSSARI.NS,Rossari Biotech Limited,EQ,23-JUL-2020,2,1,INE02A801020,2
ROSSELLIND.NS,Rossell India Limited,BE,25-SEP-2012,2,1,INE847C01020,2
ROSSTECH.NS,Rossell Techsys Limited,EQ,09-DEC-2024,2,1,INE0OJW01016,2
ROTO.NS,Roto Pumps Limited,EQ,21-APR-2022,1,1,INE535D01037,1
ROUTE.NS,ROUTE MOBILE LIMITED,EQ,21-SEP-2020,10,1,INE450U01017,10
RPEL.NS,Raghav Productivity Enhancers Limited,EQ,08-AUG-2024,10,1,INE912T01018,10
RPGLIFE.NS,RPG Life Sciences Limited,EQ,10-JUN-2008,8,1,INE105J01010,8
RPOWER.NS,Reliance Power Limited,EQ,11-FEB-2008,10,1,INE614G01033,10
RPPINFRA.NS,R.P.P. Infra Projects Limited,BE,06-DEC-2010,10,1,INE324L01013,10
RPPL.NS,Rajshree Polypack Limited,EQ,26-NOV-2021,5,1,INE760W01023,5
RPSGVENT.NS,RPSG VENTURES LIMITED,EQ,25-JAN-2019,10,1,INE425Y01011,10
RPTECH.NS,Rashi Peripherals Limited,EQ,14-FEB-2024,5,1,INE0J1F01024,5
RRKABEL.NS,R R Kabel Limited,EQ,20-SEP-2023,5,1,INE777K01022,5
RSSOFTWARE.NS,R. S. Software (India) Limited,BE,19-MAY-1999,5,1,INE165B01029,5
RSWM.NS,RSWM Limited,EQ,15-FEB-1995,10,1,INE611A01016,10
RSYSTEMS.NS,R Systems International Limited,EQ,26-APR-2006,1,1,INE411H01032,1
RTNINDIA.NS,RattanIndia Enterprises Limited,EQ,30-JUL-2012,2,1,INE834M01019,2
RTNPOWER.NS,RattanIndia Power Limited,EQ,30-OCT-2009,10,1,INE399K01017,10
RUBFILA.NS,Rubfila International Limited,EQ,08-AUG-2024,5,1,INE642C01025,5
RUBYMILLS.NS,The Ruby Mills Limited,EQ,29-MAR-1995,5,1,INE301D01026,5
RUCHINFRA.NS,Ruchi Infrastructure Limited,EQ,16-OCT-1996,1,1,INE413B01023,1
RUCHIRA.NS,Ruchira Papers Limited,EQ,20-DEC-2006,10,1,INE803H01014,10
RUPA.NS,Rupa & Company Limited,EQ,07-DEC-2011,1,1,INE895B01021,1
RUSHIL.NS,Rushil Decor Limited,EQ,07-JUL-2011,1,1,INE573K01025,1
RUSTOMJEE.NS,Keystone Realtors Limited,EQ,24-NOV-2022,10,1,INE263M01029,10
RVHL.NS,Ravinder Heights Limited,BE,18-DEC-2020,1,1,INE09E501017,1
RVNL.NS,Rail Vikas Nigam Limited,EQ,11-APR-2019,10,1,INE415G01027,10
RVTH.NS,Revathi Equipment India Limited,BE,11-SEP-2024,10,1,INE0DAB01012,10
S&SPOWER.NS,S&S Power Switchgears Limited,BE,27-SEP-1995,10,1,INE902B01017,10
SABEVENTS.NS,Sab Events & Governance Now Media Limited,BE,15-SEP-2016,10,1,INE860T01019,10
SABTNL.NS,Sri Adhikari Brothers Television Network Limited,BE,01-APR-2024,10,1,INE416A01044,10
SADBHAV.NS,Sadbhav Engineering Limited,EQ,01-MAR-2006,1,1,INE226H01026,1
SADBHIN.NS,Sadbhav Infrastructure Project Limited,EQ,16-SEP-2015,10,1,INE764L01010,10
SADHNANIQ.NS,Sadhana Nitrochem Limited,EQ,05-MAY-2023,1,1,INE888C01040,1
SAFARI.NS,Safari Industries (India) Limited,EQ,12-SEP-2019,2,1,INE429E01023,2
SAGARDEEP.NS,Sagardeep Alloys Limited,EQ,25-JAN-2019,10,1,INE976T01013,10
SAGCEM.NS,Sagar Cements Limited,EQ,29-JAN-2007,2,1,INE229C01021,2
SAGILITY.NS,Sagility India Limited,EQ,12-NOV-2024,10,1,INE0W2G01015,10
SAH.NS,Sah Polymers Limited,BE,12-JAN-2023,10,1,INE035801013,10
SAHYADRI.NS,Sahyadri Industries Limited,EQ,06-APR-2023,10,1,INE280H01015,10
SAIL.NS,Steel Authority of India Limited,EQ,06-JUL-1995,10,1,INE114A01011,10
SAILIFE.NS,Sai Life Sciences Limited,EQ,18-DEC-2024,1,1,INE570L01029,1
SAKAR.NS,Sakar Healthcare Limited,EQ,11-APR-2019,10,1,INE732S01012,10
SAKHTISUG.NS,Sakthi Sugars Limited,EQ,06-SEP-1995,10,1,INE623A01011,10
SAKSOFT.NS,Saksoft Limited,EQ,09-MAY-2005,1,1,INE667G01023,1
SAKUMA.NS,Sakuma Exports Limited,BE,08-MAR-2006,1,1,INE190H01024,1
SALASAR.NS,Salasar Techno Engineering Limited,EQ,25-JUL-2017,1,1,INE170V01027,1
SALONA.NS,Salona Cotspin Limited,EQ,16-JUN-2016,10,1,INE498E01010,10
SALSTEEL.NS,S.A.L. Steel Limited,EQ,24-NOV-2004,10,1,INE658G01014,10
SALZERELEC.NS,Salzer Electronics Limited,EQ,02-DEC-2015,10,1,INE457F01013,10
SAMBHAAV.NS,Sambhaav Media Limited,BE,05-JUN-1996,1,1,INE699B01027,1
SAMHI.NS,Samhi Hotels Limited,EQ,22-SEP-2023,1,1,INE08U801020,1
SAMMAANCAP.NS,Sammaan Capital Limited,EQ,23-JUL-2013,2,1,INE148I01020,2
SAMPANN.NS,Sampann Utpadan India Limited,BE,27-JUL-2012,10,1,INE735M01018,10
SANATHAN.NS,Sanathan Textiles Limited,EQ,27-DEC-2024,10,1,INE0JPD01013,10
SANCO.NS,Sanco Industries Limited,BZ,22-NOV-2016,10,1,INE782L01012,10
SANDESH.NS,The Sandesh Limited,EQ,26-NOV-2002,10,1,INE583B01015,10
SANDHAR.NS,Sandhar Technologies Limited,EQ,02-APR-2018,10,1,INE278H01035,10
SANDUMA.NS,Sandur Manganese & Iron Ores Limited,EQ,07-SEP-2023,10,1,INE149K01016,10
SANGAMIND.NS,Sangam (India) Limited,EQ,17-JUL-1996,10,1,INE495C01010,10
SANGHIIND.NS,Sanghi Industries Limited,EQ,10-MAY-1995,10,1,INE999B01013,10
SANGHVIMOV.NS,Sanghvi Movers Limited,EQ,24-JAN-2007,1,1,INE989A01032,1
SANGINITA.NS,Sanginita Chemicals Limited,EQ,15-JUL-2019,10,1,INE753W01010,10
SANOFI.NS,Sanofi India Limited,EQ,19-MAY-2003,10,1,INE058A01010,10
SANOFICONR.NS,Sanofi Consumer Healthcare India Limited,EQ,13-SEP-2024,10,1,INE0UOS01011,10
SANSERA.NS,Sansera Engineering Limited,EQ,24-SEP-2021,2,1,INE953O01021,2
SANSTAR.NS,Sanstar Limited,EQ,26-JUL-2024,2,1,INE08NE01025,2
SANWARIA.NS,Sanwaria Consumer Limited,BZ,27-MAR-2006,1,1,INE890C01046,1
SAPPHIRE.NS,Sapphire Foods India Limited,EQ,18-NOV-2021,2,1,INE806T01020,2
SARDAEN.NS,Sarda Energy & Minerals Limited,EQ,03-DEC-2009,1,1,INE385C01021,1
SAREGAMA.NS,Saregama India Limited,EQ,30-JUL-1997,1,1,INE979A01025,1
SARLAPOLY.NS,Sarla Performance Fibers Limited,BE,19-JAN-2007,1,1,INE453D01025,1
SARVESHWAR.NS,Sarveshwar Foods Limited,EQ,08-DEC-2022,1,1,INE324X01026,1
SASKEN.NS,Sasken Technologies Limited,EQ,09-SEP-2005,10,1,INE231F01020,10
SASTASUNDR.NS,Sastasundar Ventures Limited,EQ,05-OCT-2010,10,1,INE019J01013,10
SATIA.NS,Satia Industries Limited,EQ,17-JUL-2019,1,1,INE170E01023,1
SATIN.NS,Satin Creditcare Network Limited,EQ,26-AUG-2015,10,1,INE836B01017,10
SATINDLTD.NS,Sat Industries Limited,EQ,21-NOV-2022,2,1,INE065D01027,2
SAURASHCEM.NS,Saurashtra Cement Limited,EQ,27-FEB-2024,10,1,INE626A01014,10
SBC.NS,SBC Exports Limited,EQ,23-NOV-2021,1,1,INE04AK01028,1
SBCL.NS,Shivalik Bimetal Controls Limited,EQ,24-JUN-2021,2,1,INE386D01027,2
SBFC.NS,SBFC Finance Limited,EQ,16-AUG-2023,10,1,INE423Y01016,10
SBGLP.NS,Suratwwala Business Group Limited,EQ,10-FEB-2023,1,1,INE05ST01028,1
SBICARD.NS,SBI Cards and Payment Services Limited,EQ,16-MAR-2020,10,1,INE018E01016,10
SBILIFE.NS,SBI Life Insurance Company Limited,EQ,03-OCT-2017,10,1,INE123W01016,10
SBIN.NS,State Bank of India,EQ,01-MAR-1995,1,1,INE062A01020,1
SCHAEFFLER.NS,Schaeffler India Limited,EQ,29-NOV-2000,2,1,INE513A01022,2
SCHAND.NS,S Chand And Company Limited,EQ,09-MAY-2017,5,1,INE807K01035,5
SCHNEIDER.NS,Schneider Electric Infrastructure Limited,EQ,20-MAR-2012,2,1,INE839M01018,2
SCI.NS,Shipping Corporation Of India Limited,EQ,13-AUG-1997,10,1,INE109A01011,10
SCILAL.NS,Shipping Corporation of India Land and Assets Limited,EQ,19-MAR-2024,10,1,INE0PB301013,10
SCPL.NS,Sheetal Cool Products Limited,BE,22-NOV-2022,10,1,INE501Y01019,10
SDBL.NS,Som Distilleries & Breweries Limited,EQ,18-MAR-2014,2,1,INE480C01038,2
SEAMECLTD.NS,Seamec Limited,EQ,28-JUN-1995,10,1,INE497B01018,10
SECMARK.NS,SecMark Consultancy Limited,EQ,16-OCT-2023,10,1,INE0BTM01013,10
SECURKLOUD.NS,SECUREKLOUD TECHNOLOGIES LIMITED,EQ,29-JAN-2014,5,1,INE650K01021,5
SEJALLTD.NS,Sejal Glass Limited,BE,13-DEC-2021,10,1,INE955I01044,10
SELAN.NS,Selan Exploration Technology Limited,EQ,26-SEP-2006,10,1,INE818A01017,10
SELMC.NS,SEL Manufacturing Company Limited,EQ,26-OCT-2021,10,1,INE105I01020,10
SEMAC.NS,SEMAC CONSULTANTS LIMITED,BE,11-AUG-2005,10,1,INE617A01013,10
SENCO.NS,Senco Gold Limited,EQ,14-JUL-2023,10,1,INE602W01019,10
SENORES.NS,Senores Pharmaceuticals Limited,EQ,30-DEC-2024,10,1,INE0RB801010,10
SEPC.NS,SEPC Limited,EQ,20-FEB-2008,10,1,INE964H01014,10
SEQUENT.NS,Sequent Scientific Limited,EQ,10-MAR-2016,2,1,INE807F01027,2
SERVOTECH.NS,Servotech Power Systems Limited,EQ,02-SEP-2021,1,1,INE782X01033,1
SESHAPAPER.NS,Seshasayee Paper and Boards Limited,EQ,29-MAR-1995,2,1,INE630A01024,2
SETCO.NS,Setco Automotive Limited,BE,01-JUL-2016,2,1,INE878E01021,2
SETUINFRA.NS,Setubandhan Infrastructure Limited,BZ,04-OCT-2011,1,1,INE023M01027,1
SEYAIND.NS,Seya Industries Limited,BE,11-JUL-2019,10,1,INE573R01012,10
SFL.NS,Sheela Foam Limited,EQ,09-DEC-2016,5,1,INE916U01025,5
SGIL.NS,Synergy Green Industries Limited,BE,28-JUL-2021,10,1,INE00QT01015,10
SGL.NS,STL Global Limited,EQ,10-APR-2006,10,1,INE353H01010,10
SHAH.NS,Shah Metacorp Limited,EQ,27-OCT-2010,1,1,INE482J01021,1
SHAHALLOYS.NS,Shah Alloys Limited,BE,16-JUN-2005,10,1,INE640C01011,10
SHAILY.NS,Shaily Engineering Plastics Limited,BE,04-APR-2022,2,1,INE151G01028,2
SHAKTIPUMP.NS,Shakti Pumps (India) Limited,EQ,29-JAN-2015,10,1,INE908D01010,10
SHALBY.NS,Shalby Limited,EQ,15-DEC-2017,10,1,INE597J01018,10
SHALPAINTS.NS,Shalimar Paints Limited,EQ,03-MAR-2008,2,1,INE849C01026,2
SHANKARA.NS,Shankara Building Products Limited,EQ,05-APR-2017,10,1,INE274V01019,10
SHANTI.NS,Shanti Overseas (India) Limited,EQ,16-SEP-2021,10,1,INE933X01016,10
SHANTIGEAR.NS,Shanthi Gears Limited,EQ,17-JAN-1996,1,1,INE631A01022,1
SHARDACROP.NS,Sharda Cropchem Limited,EQ,23-SEP-2014,10,1,INE221J01015,10
SHARDAMOTR.NS,Sharda Motor Industries Limited,EQ,03-SEP-2015,2,1,INE597I01028,2
SHAREINDIA.NS,Share India Securities Limited,EQ,21-SEP-2020,2,1,INE932X01026,2
SHEKHAWATI.NS,Shekhawati Industries Limited,BE,12-JAN-2011,10,1,INE268L01046,10
SHEMAROO.NS,Shemaroo Entertainment Limited,EQ,01-OCT-2014,10,1,INE363M01019,10
SHILPAMED.NS,Shilpa Medicare Limited,EQ,03-DEC-2009,1,1,INE790G01031,1
SHIVALIK.NS,Shivalik Rasayan Limited,EQ,09-DEC-2021,5,1,INE788J01021,5
SHIVAMAUTO.NS,Shivam Autotech Limited,EQ,21-NOV-2006,2,1,INE637H01024,2
SHIVAMILLS.NS,Shiva Mills Limited,EQ,26-FEB-2018,10,1,INE644Y01017,10
SHIVATEX.NS,Shiva Texyarn Limited,EQ,26-DEC-2017,10,1,INE705C01020,10
SHK.NS,S H Kelkar and Company Limited,EQ,16-NOV-2015,10,1,INE500L01026,10
SHOPERSTOP.NS,Shoppers Stop Limited,EQ,23-MAY-2005,5,1,INE498B01024,5
SHRADHA.NS,Shradha Infraprojects Limited,BE,22-OCT-2020,2,1,INE715Y01031,2
SHREDIGCEM.NS,Shree Digvijay Cement Co.Ltd,EQ,28-JAN-2020,10,1,INE232A01011,10
SHREECEM.NS,SHREE CEMENT LIMITED,EQ,26-APR-1995,10,1,INE070A01015,10
SHREEPUSHK.NS,Shree Pushkar Chemicals & Fertilisers Limited,EQ,10-SEP-2015,10,1,INE712K01011,10
SHREERAMA.NS,Shree Rama Multi-Tech Limited,BE,13-MAR-2000,5,1,INE879A01019,5
SHRENIK.NS,Shrenik Limited,EQ,02-AUG-2019,1,1,INE632X01030,1
SHREYANIND.NS,Shreyans Industries Limited,EQ,06-NOV-1996,10,1,INE231C01019,10
SHRIPISTON.NS,Shriram Pistons & Rings Limited,EQ,02-JUN-2016,10,1,INE526E01018,10
SHRIRAMFIN.NS,Shriram Finance Limited,EQ,11-DEC-1996,10,1,INE721A01013,10
SHRIRAMPPS.NS,Shriram Properties Limited,EQ,20-DEC-2021,10,1,INE217L01019,10
SHYAMCENT.NS,Shyam Century Ferrous Limited,EQ,28-JUL-2015,1,1,INE979R01011,1
SHYAMMETL.NS,Shyam Metalics and Energy Limited,EQ,24-JUN-2021,10,1,INE810G01011,10
SHYAMTEL.NS,Shyam Telecom Limited,BE,06-NOV-2006,10,1,INE635A01023,10
SICALLOG.NS,Sical Logistics Limited,BE,12-OCT-2023,10,1,INE075B01020,10
SIEMENS.NS,Siemens Limited,EQ,06-SEP-1995,2,1,INE003A01024,2
SIGACHI.NS,Sigachi Industries Limited,EQ,15-NOV-2021,1,1,INE0D0K01022,1
SIGIND.NS,Signet Industries Limited,EQ,29-AUG-2018,10,1,INE529F01035,10
SIGMA.NS,Sigma Solve Limited,EQ,09-JUN-2023,10,1,INE0A0S01010,10
SIGNATURE.NS,Signatureglobal (India) Limited,EQ,27-SEP-2023,1,1,INE903U01023,1
SIGNPOST.NS,Signpost India Limited,BE,14-FEB-2024,2,1,INE0KGZ01021,2
SIKKO.NS,Sikko Industries Limited,EQ,22-OCT-2021,10,1,INE112X01017,10
SIKKO-RE.NS,Sikko Industries Limited-RE,BE,23-DEC-2024,10,1,INE112X20017,10
SIL.NS,Standard Industries Limited,EQ,27-JAN-2004,5,1,INE173A01025,5
SILGO.NS,Silgo Retail Limited,EQ,03-MAR-2021,10,1,INE01II01013,10
SILINV.NS,SIL Investments Limited,BE,22-MAY-1996,10,1,INE923A01015,10
SILLYMONKS.NS,Silly Monks Entertainment Limited,EQ,08-JUL-2020,10,1,INE203Y01012,10
SILVERTUC.NS,Silver Touch Technologies Limited,EQ,12-MAY-2022,10,1,INE625X01018,10
SIMBHALS.NS,Simbhaoli Sugars Limited,BE,14-MAR-2016,10,1,INE748T01016,10
SIMPLEXINF.NS,Simplex Infrastructures Limited,BE,09-MAR-2004,2,1,INE059B01024,2
SINCLAIR.NS,Sinclairs Hotels Limited,EQ,10-APR-2024,2,1,INE985A01022,2
SINDHUTRAD.NS,Sindhu Trade Links Limited,EQ,20-JUN-2023,1,1,INE325D01025,1
SINTERCOM.NS,Sintercom India Limited,EQ,07-OCT-2020,10,1,INE129Z01016,10
SIRCA.NS,Sirca Paints India Limited,EQ,22-JUL-2019,10,1,INE792Z01011,10
SIS.NS,SIS LIMITED,EQ,10-AUG-2017,5,1,INE285J01028,5
SITINET.NS,Siti Networks Limited,BE,10-JAN-2007,1,1,INE965H01011,1
SIYSIL.NS,Siyaram Silk Mills Limited,EQ,29-JAN-2007,2,1,INE076B01028,2
SJS.NS,S.J.S. Enterprises Limited,EQ,15-NOV-2021,10,1,INE284S01014,10
SJVN.NS,SJVN Limited,EQ,20-MAY-2010,10,1,INE002L01015,10
SKFINDIA.NS,SKF India Limited,EQ,27-JAN-1999,10,1,INE640A01023,10
SKIPPER.NS,Skipper Limited,EQ,27-MAY-2015,1,1,INE439E01022,1
SKMEGGPROD.NS,SKM Egg Products Export (India) Limited,EQ,14-MAR-1997,10,1,INE411D01015,10
SKYGOLD.NS,Sky Gold Limited,BE,06-JAN-2023,10,1,INE01IU01018,10
SMARTLINK.NS,Smartlink Holdings Limited,BE,11-APR-2001,2,1,INE178C01020,2
SMCGLOBAL.NS,SMC Global Securities Limited,EQ,24-FEB-2021,2,1,INE103C01036,2
SMLISUZU.NS,SML Isuzu Limited,EQ,29-AUG-2003,10,1,INE294B01019,10
SMLT.NS,Sarthak Metals Limited,EQ,25-NOV-2021,10,1,INE017W01010,10
SMSLIFE.NS,SMS Lifesciences India Limited,BE,17-AUG-2017,10,1,INE320X01016,10
SMSPHARMA.NS,SMS Pharmaceuticals Limited,EQ,28-FEB-2007,1,1,INE812G01025,1
SNOWMAN.NS,Snowman Logistics Limited,EQ,12-SEP-2014,10,1,INE734N01019,10
SOBHA.NS,Sobha Limited,EQ,20-DEC-2006,10,1,INE671H01015,10
SOFTTECH.NS,Softtech Engineers Limited,BE,25-FEB-2022,10,1,INE728Z01015,10
SOLARA.NS,Solara Active Pharma Sciences Limited,EQ,27-JUN-2018,10,1,INE624Z01016,10
SOLARINDS.NS,Solar Industries India Limited,EQ,03-APR-2006,2,1,INE343H01029,2
SOMANYCERA.NS,Somany Ceramics Limited,EQ,22-NOV-1995,2,1,INE355A01028,2
SOMATEX.NS,Soma Textiles & Industries Limited,BE,14-AUG-1996,10,1,INE314C01013,10
SOMICONVEY.NS,Somi Conveyor Beltings Limited,EQ,18-JUL-2016,10,1,INE323J01019,10
SONACOMS.NS,Sona BLW Precision Forgings Limited,EQ,24-JUN-2021,10,1,INE073K01018,10
SONAMLTD.NS,SONAM LIMITED,BE,07-APR-2022,5,1,INE00LM01029,5
SONATSOFTW.NS,Sonata Software Limited,EQ,28-JUL-1999,1,1,INE269A01021,1
SOTL.NS,Savita Oil Technologies Limited,EQ,28-JUN-1995,2,1,INE035D01020,2
SOUTHBANK.NS,The South Indian Bank Limited,EQ,08-DEC-1998,1,1,INE683A01023,1
SOUTHWEST.NS,South West Pinnacle Exploration Limited,EQ,18-APR-2019,10,1,INE980Y01015,10
SPAL.NS,S. P. Apparels Limited,EQ,12-AUG-2016,10,1,INE212I01016,10
SPANDANA.NS,Spandana Sphoorty Financial Limited,EQ,19-AUG-2019,10,1,INE572J01011,10
SPARC.NS,Sun Pharma Advanced Research Company Limited,EQ,18-JUL-2007,1,1,INE232I01014,1
SPCENET.NS,Spacenet Enterprises India Limited,EQ,10-JAN-2017,1,1,INE970N01027,1
SPECIALITY.NS,Speciality Restaurants Limited,EQ,30-MAY-2012,10,1,INE247M01014,10
SPENCERS.NS,Spencer's Retail Limited,EQ,25-JAN-2019,5,1,INE020801028,5
SPIC.NS,Southern Petrochemicals Industries Corporation  Limited,EQ,10-JAN-1996,10,1,INE147A01011,10
SPLIL.NS,SPL Industries Limited,EQ,26-JUL-2005,10,1,INE978G01016,10
SPLPETRO.NS,Supreme Petrochem Limited,EQ,24-MAY-2022,2,1,INE663A01033,2
SPMLINFRA.NS,SPML Infra Limited,BE,14-FEB-1996,2,1,INE937A01023,2
SPORTKING.NS,Sportking India Limited,EQ,24-AUG-2022,1,1,INE885H01029,1
SRD.NS,Shankar Lal Rampal Dye-Chem Limited,BE,09-OCT-2024,10,1,INE01NE01012,10
SREEL.NS,Sreeleathers Limited,EQ,01-JAN-2014,10,1,INE099F01013,10
SRF.NS,SRF Limited,EQ,18-AUG-2003,10,1,INE647A01010,10
SRGHFL.NS,SRG Housing Finance Limited,EQ,21-AUG-2023,10,1,INE559N01010,10
SRHHYPOLTD.NS,Sree Rayalaseema Hi-Strength Hypo Limited,EQ,08-MAY-2007,10,1,INE917H01012,10
SRM.NS,SRM Contractors Limited,EQ,03-APR-2024,10,1,INE0R6Z01013,10
SRPL.NS,Shree Ram Proteins Limited,BZ,23-SEP-2020,1,1,INE008Z01020,1
SSDL.NS,Saraswati Saree Depot Limited,EQ,20-AUG-2024,10,1,INE0PQ101010,10
SSWL.NS,Steel Strips Wheels Limited,EQ,06-JUN-2005,1,1,INE802C01033,1
STANLEY.NS,Stanley Lifestyles Limited,EQ,28-JUN-2024,2,1,INE01A001028,2
STAR.NS,Strides Pharma Science Limited,EQ,02-FEB-2000,10,1,INE939A01011,10
STARCEMENT.NS,Star Cement Limited,EQ,16-JUN-2017,1,1,INE460H01021,1
STARHEALTH.NS,Star Health and Allied Insurance Company Limited,EQ,10-DEC-2021,10,1,INE575P01011,10
STARPAPER.NS,Star Paper Mills Limited,EQ,13-SEP-1995,10,1,INE733A01018,10
STARTECK.NS,Starteck Finance Limited,EQ,04-MAY-2022,10,1,INE992I01013,10
STCINDIA.NS,The State Trading Corporation of India Limited,EQ,01-APR-2003,10,1,INE655A01013,10
STEELCAS.NS,Steelcast Limited,EQ,23-NOV-2021,5,1,INE124E01020,5
STEELCITY.NS,Steel City Securities Limited,EQ,27-JUN-2019,10,1,INE395H01011,10
STEELXIND.NS,STEEL EXCHANGE INDIA LIMITED,EQ,20-JUL-2017,1,1,INE503B01021,1
STEL.NS,Stel Holdings Limited,EQ,09-FEB-2011,10,1,INE577L01016,10
STERTOOLS.NS,Sterling Tools Limited,EQ,02-FEB-2006,2,1,INE334A01023,2
STLTECH.NS,Sterlite Technologies Limited,EQ,08-DEC-2000,2,1,INE089C01029,2
STOVEKRAFT.NS,Stove Kraft Limited,EQ,05-FEB-2021,10,1,INE00IN01015,10
STYLAMIND.NS,Stylam Industries Limited,EQ,02-AUG-2021,5,1,INE239C01020,5
STYLEBAAZA.NS,Baazar Style Retail Limited,EQ,06-SEP-2024,5,1,INE01FR01028,5
STYRENIX.NS,Styrenix Performance Materials Limited,EQ,29-MAR-1995,10,1,INE189B01011,10
SUBEXLTD.NS,Subex Limited,EQ,05-NOV-2020,5,1,INE754A01055,5
SUBROS.NS,Subros Limited,EQ,13-JUL-2005,2,1,INE287B01021,2
SUDARSCHEM.NS,Sudarshan Chemical Industries Limited,EQ,25-MAY-1995,2,1,INE659A01023,2
SUKHJITS.NS,Sukhjit Starch & Chemicals Limited,EQ,07-NOV-2022,5,1,INE450E01029,5
SULA.NS,Sula Vineyards Limited,EQ,22-DEC-2022,2,1,INE142Q01026,2
SUMICHEM.NS,Sumitomo Chemical India Limited,EQ,27-JAN-2020,10,1,INE258G01013,10
SUMIT.NS,Sumit Woods Limited,BE,30-JUL-2019,10,1,INE748Z01013,10
SUMMITSEC.NS,Summit Securities Limited,EQ,28-JAN-2011,10,1,INE519C01017,10
SUNCLAY.NS,Sundaram Clayton Limited,EQ,29-DEC-2023,5,1,INE0Q3R01026,5
SUNDARAM.NS,Sundaram Multi Pap Limited,EQ,02-JUN-2010,1,1,INE108E01023,1
SUNDARMFIN.NS,Sundaram Finance Limited,EQ,07-JAN-1998,10,1,INE660A01013,10
SUNDARMHLD.NS,Sundaram Finance Holdings Limited,EQ,26-MAR-2018,5,1,INE202Z01029,5
SUNDRMBRAK.NS,Sundaram Brake Linings Limited,BE,17-JUL-1996,10,1,INE073D01013,10
SUNDRMFAST.NS,Sundram Fasteners Limited,EQ,07-JUN-2000,1,1,INE387A01021,1
SUNFLAG.NS,Sunflag Iron And Steel Company Limited,BE,29-SEP-2005,10,1,INE947A01014,10
SUNPHARMA.NS,Sun Pharmaceutical Industries Limited,EQ,08-FEB-1995,1,1,INE044A01036,1
SUNTECK.NS,Sunteck Realty Limited,EQ,13-NOV-2009,1,1,INE805D01034,1
SUNTV.NS,Sun TV Network Limited,EQ,24-APR-2006,5,1,INE424H01027,5
SUPERHOUSE.NS,Superhouse Limited,EQ,26-SEP-2014,10,1,INE712B01010,10
SUPERSPIN.NS,Super Spinning Mills Limited,BE,08-JUL-2004,1,1,INE662A01027,1
SUPRAJIT.NS,Suprajit Engineering Limited,EQ,18-FEB-2005,1,1,INE399C01030,1
SUPREMEENG.NS,Supreme Engineering Limited,BE,04-DEC-2020,1,1,INE319Z01021,1
SUPREMEIND.NS,Supreme Industries Limited,EQ,19-JUL-1995,2,1,INE195A01028,2
SUPREMEINF.NS,Supreme Infrastructure India Limited,BZ,18-OCT-2007,10,1,INE550H01011,10
SUPRIYA.NS,Supriya Lifescience Limited,EQ,28-DEC-2021,2,1,INE07RO01027,2
SURAJEST.NS,Suraj Estate Developers Limited,EQ,26-DEC-2023,5,1,INE843S01025,5
SURAJLTD.NS,Suraj Limited,BE,29-AUG-2024,10,1,INE713C01016,10
SURAKSHA.NS,Suraksha Diagnostic Limited,EQ,06-DEC-2024,2,1,INE877V01027,2
